# Time-averaged data for fix av1
# TimeStep v_DT v_TYM v_T v_PE v_TE v_Pr v_Lx v_Ly v_Lz v_V v_c1 v_c2 v_c3 v_c4 c_Nvac c_Nint
50050 2.90537e-05 100.001 1872.41 -3.49657e+07 -3.4339e+07 15683.1 328.478 328.476 328.477 3.54418e+07 863113 1.72626e+06 174 0 493771 845327
50100 3.08545e-05 100.003 1724.21 -3.49161e+07 -3.4339e+07 19184.9 328.478 328.476 328.477 3.54418e+07 863113 1.72626e+06 174 0 494344 846368
50150 9.33197e-10 100.004 3.40388e+09 -4.17469e+07 1.13932e+12 3.43368e+10 328.478 328.476 328.477 3.54418e+07 863113 1.72626e+06 174 0 494779 847196
50200 9.53736e-10 100.004 3.40384e+09 -3.48825e+07 1.13932e+12 3.43369e+10 328.478 328.476 328.477 3.54418e+07 863113 1.72626e+06 174 0 494780 847193
50250 9.53736e-10 100.004 3.40384e+09 -3.48826e+07 1.13932e+12 3.43369e+10 328.478 328.476 328.477 3.54418e+07 863113 1.72626e+06 174 0 494780 847195
50300 9.53736e-10 100.004 3.40384e+09 -3.48822e+07 1.13932e+12 3.43369e+10 328.478 328.476 328.477 3.54418e+07 863113 1.72626e+06 174 0 494781 847197
50350 9.53736e-10 100.004 3.40384e+09 -3.48825e+07 1.13932e+12 3.43369e+10 328.478 328.476 328.477 3.54418e+07 863113 1.72626e+06 174 0 494782 847199
50400 9.53736e-10 100.004 3.40384e+09 -3.48827e+07 1.13932e+12 3.43369e+10 328.478 328.476 328.477 3.54418e+07 863113 1.72626e+06 174 0 494782 847199
50450 9.53736e-10 100.004 3.40384e+09 -3.48822e+07 1.13932e+12 3.43369e+10 328.478 328.476 328.477 3.54418e+07 863113 1.72626e+06 174 0 494782 847199
50500 9.53736e-10 100.004 3.40384e+09 -3.48826e+07 1.13932e+12 3.43369e+10 328.478 328.476 328.477 3.54418e+07 863113 1.72626e+06 174 0 494782 847199
50550 9.53736e-10 100.004 3.40384e+09 -3.48827e+07 1.13932e+12 3.43369e+10 328.478 328.476 328.477 3.54418e+07 863113 1.72626e+06 174 0 494782 847199
50600 9.53736e-10 100.004 3.40384e+09 -3.48826e+07 1.13932e+12 3.43369e+10 328.478 328.476 328.477 3.54418e+07 863113 1.72626e+06 174 0 494781 847197
50650 9.53736e-10 100.004 3.40384e+09 -3.48825e+07 1.13932e+12 3.43369e+10 328.478 328.476 328.477 3.54418e+07 863113 1.72626e+06 174 0 494781 847197
50700 9.53736e-10 100.004 3.40384e+09 -3.48826e+07 1.13932e+12 3.43369e+10 328.478 328.476 328.477 3.54418e+07 863113 1.72626e+06 174 0 494781 847197
50750 9.53736e-10 100.004 3.40384e+09 -3.48826e+07 1.13932e+12 3.43369e+10 328.478 328.476 328.477 3.54418e+07 863113 1.72626e+06 174 0 494781 847197
50800 9.53736e-10 100.004 3.40384e+09 -3.48817e+07 1.13932e+12 3.43369e+10 328.478 328.476 328.477 3.54418e+07 863113 1.72626e+06 174 0 494781 847197
50850 9.53736e-10 100.004 3.40384e+09 -3.48825e+07 1.13932e+12 3.43369e+10 328.478 328.476 328.477 3.54418e+07 863113 1.72626e+06 174 0 494781 847197
50900 9.53736e-10 100.004 3.40384e+09 -3.48822e+07 1.13932e+12 3.43369e+10 328.478 328.476 328.477 3.54418e+07 863113 1.72626e+06 174 0 494781 847197
50950 9.53736e-10 100.004 3.40384e+09 -3.48809e+07 1.13932e+12 3.43369e+10 328.478 328.476 328.477 3.54418e+07 863113 1.72626e+06 174 0 494781 847197
51000 9.53736e-10 100.004 3.40384e+09 -3.48823e+07 1.13932e+12 3.43369e+10 328.478 328.476 328.477 3.54418e+07 863113 1.72626e+06 174 0 494781 847197
51050 9.53736e-10 100.004 3.40384e+09 -3.48824e+07 1.13932e+12 3.43369e+10 328.478 328.476 328.477 3.54418e+07 863113 1.72626e+06 174 0 494781 847197
51100 9.53736e-10 100.004 3.40384e+09 -3.48822e+07 1.13932e+12 3.43369e+10 328.478 328.476 328.477 3.54418e+07 863113 1.72626e+06 174 0 494779 847193
51150 9.53736e-10 100.004 3.40384e+09 -3.48824e+07 1.13932e+12 3.43369e+10 328.478 328.476 328.477 3.54418e+07 863113 1.72626e+06 174 0 494779 847193
51200 9.53736e-10 100.004 3.40384e+09 -3.48826e+07 1.13932e+12 3.43369e+10 328.478 328.476 328.477 3.54418e+07 863113 1.72626e+06 174 0 494779 847193
51250 9.53736e-10 100.004 3.40384e+09 -3.48825e+07 1.13932e+12 3.43369e+10 328.478 328.476 328.477 3.54418e+07 863113 1.72626e+06 174 0 494779 847193
51300 9.53736e-10 100.004 3.40384e+09 -3.48826e+07 1.13932e+12 3.43369e+10 328.478 328.476 328.477 3.54418e+07 863113 1.72626e+06 174 0 494781 847196
51350 9.53736e-10 100.004 3.40384e+09 -3.48826e+07 1.13932e+12 3.43369e+10 328.478 328.476 328.477 3.54418e+07 863113 1.72626e+06 174 0 494781 847196
51400 9.53736e-10 100.004 3.40384e+09 -3.48827e+07 1.13932e+12 3.43369e+10 328.478 328.476 328.477 3.54418e+07 863113 1.72626e+06 174 0 494781 847196
51450 9.53736e-10 100.004 3.40384e+09 -3.48827e+07 1.13932e+12 3.43369e+10 328.478 328.476 328.477 3.54418e+07 863113 1.72626e+06 174 0 494782 847196
51500 9.53736e-10 100.004 3.40384e+09 -3.48827e+07 1.13932e+12 3.43369e+10 328.478 328.476 328.477 3.54418e+07 863113 1.72626e+06 174 0 494783 847198
51550 9.53736e-10 100.004 3.40384e+09 -3.48827e+07 1.13932e+12 3.43369e+10 328.478 328.476 328.477 3.54418e+07 863113 1.72626e+06 174 0 494783 847198
51600 9.53736e-10 100.004 3.40384e+09 -3.48827e+07 1.13932e+12 3.43369e+10 328.478 328.476 328.477 3.54418e+07 863113 1.72626e+06 174 0 494783 847198
51650 9.53736e-10 100.004 3.40384e+09 -3.48826e+07 1.13932e+12 3.43369e+10 328.478 328.476 328.477 3.54418e+07 863113 1.72626e+06 174 0 494783 847198
51700 9.53736e-10 100.004 3.40384e+09 -3.48826e+07 1.13932e+12 3.43369e+10 328.478 328.476 328.477 3.54418e+07 863113 1.72626e+06 174 0 494783 847198
51750 9.53736e-10 100.004 3.40384e+09 -3.48825e+07 1.13932e+12 3.43369e+10 328.478 328.476 328.477 3.54418e+07 863113 1.72626e+06 174 0 494783 847198
51800 9.53736e-10 100.004 3.40384e+09 -3.48831e+07 1.13932e+12 3.43369e+10 328.478 328.476 328.477 3.54418e+07 863113 1.72626e+06 174 0 494783 847198
51850 9.53736e-10 100.004 3.40384e+09 -3.48823e+07 1.13932e+12 3.43369e+10 328.478 328.476 328.477 3.54418e+07 863113 1.72626e+06 174 0 494783 847198
51900 9.53736e-10 100.004 3.40384e+09 -3.4881e+07 1.13932e+12 3.43369e+10 328.478 328.476 328.477 3.54418e+07 863113 1.72626e+06 174 0 494782 847196
51950 9.53736e-10 100.004 3.40384e+09 -3.48819e+07 1.13932e+12 3.43369e+10 328.478 328.476 328.477 3.54418e+07 863113 1.72626e+06 174 0 494783 847198
52000 9.53736e-10 100.004 3.40384e+09 -3.48812e+07 1.13932e+12 3.43369e+10 328.478 328.476 328.477 3.54418e+07 863113 1.72626e+06 174 0 494784 847199
