 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> May 01, 2023 
 ==================================================================

 Disk File Name = SRIM Outputs\Molybdenum in  U-Mo.txt

 Ion = Molybdenum [42] , Mass = 97.905 amu

 Target Density =  1.7200E+01 g/cm3 = 5.0440E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      U     92    077.00    089.25   
     Mo     42    023.00    010.75   
 ====================================
 Bragg Correction = 0.37%
 Stopping Units =   eV / Angstrom 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
    1.1 eV    9.108E-02  7.362E-01       1 A         1 A         1 A   
    1.2 eV    9.108E-02  7.837E-01       1 A         1 A         1 A   
    1.3 eV    9.480E-02  8.299E-01       1 A         1 A         1 A   
    1.4 eV    9.838E-02  8.751E-01       1 A         1 A         1 A   
    1.5 eV    1.018E-01  9.193E-01       1 A         1 A         1 A   
    1.6 eV    1.052E-01  9.626E-01       1 A         1 A         1 A   
    1.7 eV    1.084E-01  1.005E+00       1 A         1 A         1 A   
    1.8 eV    1.116E-01  1.047E+00       1 A         1 A         1 A   
      2 eV    1.176E-01  1.128E+00       1 A         1 A         1 A   
   2.25 eV    1.247E-01  1.226E+00       1 A         1 A         1 A   
2.49999 eV    1.315E-01  1.321E+00       1 A         1 A         1 A   
2.74999 eV    1.379E-01  1.412E+00       1 A         1 A         1 A   
2.99999 eV    1.440E-01  1.501E+00       1 A         1 A         1 A   
3.24999 eV    1.499E-01  1.588E+00       1 A         1 A         1 A   
3.49999 eV    1.556E-01  1.672E+00       1 A         1 A         1 A   
3.74999 eV    1.610E-01  1.755E+00       1 A         2 A         1 A   
3.99999 eV    1.663E-01  1.835E+00       2 A         2 A         1 A   
4.49999 eV    1.764E-01  1.992E+00       2 A         2 A         1 A   
4.99999 eV    1.859E-01  2.143E+00       2 A         2 A         1 A   
