 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> May 01, 2023 
 ==================================================================

 Disk File Name = SRIM Outputs\Uranium in  U-Mo.txt

 Ion = Uranium [92] , Mass = 238.051 amu

 Target Density =  1.7200E+01 g/cm3 = 5.0440E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      U     92    077.00    089.25   
     Mo     42    023.00    010.75   
 ====================================
 Bragg Correction = 0.37%
 Stopping Units =   eV / Angstrom 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
    1.1 eV    2.511E-01  9.604E-01       1 A         1 A           A   
    1.2 eV    2.511E-01  1.024E+00       1 A         1 A           A   
    1.3 eV    2.613E-01  1.086E+00       1 A         1 A           A   
    1.4 eV    2.712E-01  1.147E+00       1 A         1 A         1 A   
    1.5 eV    2.807E-01  1.206E+00       1 A         1 A         1 A   
    1.6 eV    2.899E-01  1.265E+00       1 A         1 A         1 A   
    1.7 eV    2.988E-01  1.322E+00       1 A         1 A         1 A   
    1.8 eV    3.075E-01  1.378E+00       1 A         1 A         1 A   
      2 eV    3.241E-01  1.488E+00       1 A         1 A         1 A   
   2.25 eV    3.438E-01  1.622E+00       1 A         1 A         1 A   
2.49999 eV    3.624E-01  1.751E+00       2 A         1 A         1 A   
2.74999 eV    3.801E-01  1.876E+00       2 A         1 A         1 A   
2.99999 eV    3.970E-01  1.998E+00       2 A         1 A         1 A   
3.24999 eV    4.132E-01  2.117E+00       2 A         1 A         1 A   
3.49999 eV    4.288E-01  2.233E+00       2 A         1 A         1 A   
3.74999 eV    4.438E-01  2.347E+00       2 A         1 A         1 A   
3.99999 eV    4.584E-01  2.458E+00       2 A         1 A         1 A   
4.49999 eV    4.862E-01  2.675E+00       2 A         1 A         1 A   
4.99999 eV    5.125E-01  2.884E+00       2 A         1 A         1 A   
5.49999 eV    5.375E-01  3.088E+00       2 A         1 A         1 A   
