 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> May 01, 2023 
 ==================================================================

 Disk File Name = SRIM Outputs\Xenon in  U-Mo.txt

 Ion = Xenon [54] , Mass = 131.904 amu

 Target Density =  1.7200E+01 g/cm3 = 5.0440E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      U     92    077.00    089.25   
     Mo     42    023.00    010.75   
 ====================================
 Bragg Correction = 0.37%
 Stopping Units =   eV / Angstrom 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
    1.1 eV    1.434E-01  8.347E-01       1 A         1 A         1 A   
    1.2 eV    1.434E-01  8.890E-01       1 A         1 A         1 A   
    1.3 eV    1.492E-01  9.419E-01       1 A         1 A         1 A   
    1.4 eV    1.549E-01  9.936E-01       1 A         1 A         1 A   
    1.5 eV    1.603E-01  1.044E+00       1 A         1 A         1 A   
    1.6 eV    1.656E-01  1.094E+00       1 A         1 A         1 A   
    1.7 eV    1.706E-01  1.143E+00       1 A         1 A         1 A   
    1.8 eV    1.756E-01  1.190E+00       1 A         1 A         1 A   
      2 eV    1.851E-01  1.284E+00       1 A         1 A         1 A   
   2.25 eV    1.963E-01  1.396E+00       1 A         1 A         1 A   
2.49999 eV    2.069E-01  1.505E+00       1 A         1 A         1 A   
2.74999 eV    2.170E-01  1.611E+00       1 A         1 A         1 A   
2.99999 eV    2.267E-01  1.713E+00       1 A         1 A         1 A   
3.24999 eV    2.359E-01  1.813E+00       1 A         1 A         1 A   
3.49999 eV    2.449E-01  1.911E+00       2 A         1 A         1 A   
3.74999 eV    2.534E-01  2.006E+00       2 A         1 A         1 A   
3.99999 eV    2.618E-01  2.099E+00       2 A         1 A         1 A   
4.49999 eV    2.776E-01  2.280E+00       2 A         1 A         1 A   
4.99999 eV    2.927E-01  2.455E+00       2 A         2 A         1 A   
